Title,Also Called,Condensed Summary,Physician
Childhood Vaccines,Shots,"What are vaccines? Vaccines are injections (shots), liquids, pills, or nasal sprays that you take to teach the immune system to recognize and defend against harmful germs.",Allergy and Immunology
Children's Health,,"Your child's health includes physical, mental and social well-being. Most parents know the basics of keeping children healthy, like offering them healthy foods, making sure they get enough sleep and exercise and insuring their safety.",Pediatrics
Chiropractic,,Chiropractic is a health care profession. Chiropractors perform adjustments (manipulations) to the spine or other parts of the body.,Integrative Medicine
Chlamydia Infections,,What is chlamydia? Chlamydia is a common sexually transmitted disease (STD).,Gynecology
Choking,,Food or small objects can cause choking if they get caught in your throat and block your airway. This keeps oxygen from getting to your lungs and brain.,Pulmonology
Cholera,,Cholera is a bacterial infection that causes diarrhea. The cholera bacterium is usually found in water or food that has been contaminated by feces (poop).,Infectious Disease
Cholesterol,"Hypercholesterolemia, Hyperlipidemia, Hyperlipoproteinemia","What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in your body.","Hematology, Cardiology"
Cholesterol Levels: What You Need to Know,,"What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in your body.","Hematology, Cardiology"
Cholesterol Medicines,,What is cholesterol? Your body needs some cholesterol to work properly.,"Hematology, Cardiology"
Chronic Bronchitis,,What is chronic bronchitis? Chronic bronchitis is a type of COPD (chronic obstructive pulmonary disease).,Pulmonology
Chronic Fatigue Syndrome,"CFS, ME/CFS, Myalgic Encephalomyelitis, SEID, Systemic Exertion Intolerance Disease","What is chronic fatigue syndrome (CFS)? Chronic fatigue syndrome (CFS) is a serious, long-term illness that affects many body systems.",Orthopedics
Chronic Kidney Disease,CKD,"You have two kidneys, each about the size of your fist. Their main job is to filter your blood.","Nephrology, Urology"
Chronic Lymphocytic Leukemia,CLL,What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
Chronic Myeloid Leukemia,"CML, Chronic granulocytic leukemia, Chronic myelogenous leukemia",What is leukemia? Leukemia is a term for cancers of the blood cells.,"Hematology, Cardiology"
Chronic Pain,,"Pain is a signal in your nervous system that something may be wrong. It is an unpleasant feeling, such as a prick, tingle, sting, burn, or ache.",Neurology
Circumcision,,"What is circumcision? Circumcision is a surgical procedure to remove the foreskin, the skin that covers the tip of the penis.","Urology, Andrology"
Cirrhosis,Hepatic fibrosis,Cirrhosis is scarring of the liver. Scar tissue forms because of injury or long-term disease.,Gastroenterology
"Cleaning, Disinfecting, and Sanitizing",,Where are germs found? Germs are a part of everyday life.,Infectious Disease
Cleft Lip and Palate,,Cleft lip and cleft palate are birth defects that occur when a baby's lip or mouth do not form properly. They happen early during pregnancy.,Dentistry
Climate Change,,"Climate is the average weather in a place over a period of time. Climate change is major change in temperature, rainfall, snow, or wind patterns lasting for many years.",Medical Toxicology
Cloning,,"Cloning describes the processes used to create an exact genetic replica of another cell, tissue or organism. The copied material, which has the same genetic makeup as the original, is referred to as a clone.",Medical Genetics
Club Drugs,,What are club drugs? Club drugs are group of psychoactive drugs.,Addiction Medicine
Cocaine,"Blow, C, Coca, Coke, Crack, Flake, Snow",Cocaine is a white powder. It can be snorted up the nose or mixed with water and injected with a needle.,Addiction Medicine
Cochlear Implants,,"A cochlear implant is a small, complex electronic device that can help to provide a sense of sound. People who are profoundly deaf or severely hard-of-hearing can get help from them.",Otolaryngology
Cold and Cough Medicines,,What are cold and cough medicines? Cold and cough medicines can help relieve symptoms of a common cold.,Pharmacology
Cold Sores,"Fever blister, Oral herpes",Cold sores are caused by a contagious virus called herpes simplex virus (HSV). There are two types of HSV.,Dentistry
Collapsed Lung,,"A collapsed lung happens when air enters the pleural space, the area between the lung and the chest wall. If it is a total collapse, it is called pneumothorax.",Pulmonology
College Health,,"College life involves excitement, along with new challenges, risks, and responsibilities. You are meeting new people, learning new things, and making your own decisions.",Pediatrics
Colonic Diseases,Large intestine diseases,"Your colon, also known as the large intestine, is part of your digestive system. It's a long, hollow tube at the end of your digestive tract where your body makes and stores stool.",Gastroenterology
Colonic Polyps,Colon polyps,"A polyp is an extra piece of tissue that grows inside your body. Colonic polyps grow in the large intestine, or colon.",Gastroenterology
Colonoscopy,,What are colonoscopy and flexible sigmoidoscopy? Colonoscopy and flexible sigmoidoscopy are procedures that let your doctor look inside your rectum and colon (large intestine).,Gastroenterology
Color Blindness,,Most of us see our world in color. We enjoy looking at a lush green lawn or a red rose in full bloom.,Ophthalmology
Colorectal Cancer,"Colon cancer, Rectal cancer",What is colorectal cancer? Colorectal cancer is cancer that develops in the tissues of the colon or rectum.,Gastroenterology
Coma,,A coma is a deep state of unconsciousness. An individual in a coma is alive but unable to move or respond to his or her environment.,Neurology
Common Cold,,What is the common cold? The common cold is a mild infection of your upper respiratory tract (which includes your nose and throat).,Otolaryngology
Common Infant and Newborn Problems,,"It is hard when your baby is sick. Common health problems in babies include colds, coughs, fevers, and vomiting.",Pediatrics
Complementary and Integrative Medicine,CAM,"Many Americans use medical treatments that are not part of mainstream medicine. When you are using these types of care, it may be called complementary, integrative, or alternative medicine.",Integrative Medicine
Complex Regional Pain Syndrome,"CRPS, Causalgia, Reflex sympathetic dystrophy","Complex regional pain syndrome (CRPS) is a chronic pain condition. It causes intense pain, usually in the arms, hands, legs, or feet.",Neurology
Compulsive Gambling,Gambling addiction,"Many people enjoy gambling, whether it's betting on a horse or playing poker on the Internet. Most people who gamble don't have a problem, but some lose control of their gambling.",Psychiatry
Concussion,Brain concussion,A concussion is a type of brain injury. It involves a short loss of normal brain function.,Neurology
Congenital Heart Defects,,What are congenital heart defects? Congenital heart defects (CHDs) are problems with the structure of the heart.,"Hematology, Cardiology"
Connective Tissue Disorders,,"Your connective tissue supports many different parts of your body, such as your skin, eyes, and heart. It is like a ""cellular glue"" that gives your body parts their shape and helps keep them strong.",Orthopedics
Constipation,,Constipation means that a person has three or fewer bowel movements in a week. The stool can be hard and dry.,Gastroenterology
COPD,,What is COPD (chronic obstructive pulmonary disease)? COPD (chronic obstructive pulmonary disease) is a group of lung diseases that make it hard to breathe and get worse over time.,Pulmonology
Coping with Chronic Illness,,"Having a long-term, or chronic, illness can disrupt your life in many ways. You may often be tired and in pain.",Psychiatry
Coping with Disasters,,"No matter how well you have prepared, you might feel dazed or numb after going through a disaster. You may also feel sad, helpless, or anxious.",Psychiatry
Corneal Disorders,,Your cornea is the outermost layer of your eye. It is clear and shaped like a dome.,Ophthalmology
Corns and Calluses,,Corns and calluses are caused by pressure or friction on your skin. They often appear on feet where the bony parts of your feet rub against your shoes.,Dermatology
Coronary Artery Bypass Surgery,"Bypass surgery, CABG, Coronary artery bypass graft","In coronary artery disease (CAD), the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes, medicines, and angioplasty, a procedure to open the arteries.","Hematology, Cardiology"
Coronary Artery Disease,"CAD, Coronary arteriosclerosis, Coronary atherosclerosis, Coronary heart disease",Coronary artery disease (CAD) is the most common type of heart disease. It is the leading cause of death in the United States in both men and women.,"Hematology, Cardiology"
Cosmetics,Makeup,"Cosmetics are products you apply to your body to clean it, make it more attractive, or change the way it looks. They include: Hair dyes Makeup Perfumes Skin-care creams Cosmetics that treat or prevent diseases are also drugs.",Dermatology
Cough,,"Coughing is a reflex that keeps your throat and airways clear. Although it can be annoying, coughing helps your body heal or protect itself.",Otolaryngology
COVID-19 (Coronavirus Disease 2019),"COVID-19, Coronavirus",COVID-19 (coronavirus disease 2019) is an illness caused by a virus. This virus is a coronavirus called SARS-CoV-2.,Pulmonology
COVID-19 Testing,"COVID-19 Antibody Test, COVID-19 Viral Test, SARS-CoV-2 Testing",COVID-19 (coronavirus disease 2019) is a disease caused by a virus called SARS-CoV-2. There are two types of tests for this virus: A viral test tells you if you have a current infection.,Radiology
COVID-19 Vaccines,,COVID-19 (coronavirus disease 2019) is an illness caused by a virus. This virus is a coronavirus called SARS-CoV-2.,Allergy and Immunology
CPR,Cardiopulmonary resuscitation,"When someone's blood flow or breathing stops, seconds count. Permanent brain damage or death can happen quickly.","Hematology, Cardiology"
Craniofacial Abnormalities,,Craniofacial is a medical term that relates to the bones of the skull and face. Craniofacial abnormalities are birth defects of the face or head.,Orthopedics
Creutzfeldt-Jakob Disease,CJD,"Creutzfeldt-Jakob disease (CJD) is a rare, degenerative brain disorder. Symptoms usually start around age 60.",Neurology
Critical Care,"ICU, Intensive care",What is critical care? Critical care is medical care for people who have life-threatening injuries and illnesses.,"Orthopedic Surgery, Physical Medicine and Rehabilitation"
Crohn's Disease,"Regional enteritis, Regional ileitis",What is Crohn's disease? Crohn's disease is a chronic disease that causes inflammation in your digestive tract.,Gastroenterology
Croup,"Spasmodic croup, Viral croup","Croup is an inflammation of the vocal cords (larynx) and windpipe (trachea). It causes difficulty breathing, a barking cough, and a hoarse voice.",Pulmonology
Cryptosporidiosis,Crypto,"Cryptosporidiosis (crypto) is an illness caused by a parasite. The parasite lives in soil, food, and water.",Allergy and Immunology
CT Scans,CAT scan,Computed tomography (CT) is a type of imaging. It uses special x-ray equipment to make cross-sectional pictures of your body.,Radiology
Cushing's Syndrome,Hypercortisolism,"Cushing's syndrome is a hormonal disorder. The cause is long-term exposure to too much cortisol, a hormone that your adrenal gland makes.",Endocrinology
Cystic Fibrosis,CF,"Cystic fibrosis (CF) is an inherited disease of the mucus and sweat glands. It affects mostly your lungs, pancreas, liver, intestines, sinuses, and sex organs.",Pulmonology
Cytomegalovirus Infections,CMV,Cytomegalovirus (CMV) is a virus found around the world. It is related to the viruses that cause chickenpox and infectious mononucleosis (mono).,Infectious Disease
"Dandruff, Cradle Cap, and Other Scalp Conditions","Seborrhea, Seborrheic Dermatitis","Your scalp is the skin on the top of your head. Unless you have hair loss, hair grows on your scalp.",Dermatology
DASH Eating Plan,"DASH Diet, Dietary Approaches to Stop Hypertension","DASH stands for Dietary Approaches to Stop Hypertension. It is an eating plan that is based on research studies sponsored by the National Heart, Lung, and Blood Institute (NHLBI).","Hematology, Cardiology"
Deep Vein Thrombosis,DVT,"Deep vein thrombosis, or DVT, is a blood clot that forms in a vein deep in the body. Most deep vein clots occur in the lower leg or thigh.","Hematology, Cardiology"
Degenerative Nerve Diseases,Neurodegenerative diseases,"Degenerative nerve diseases affect many of your body's activities, such as balance, movement, talking, breathing, and heart function. Many of these diseases are genetic.",Neurology
Dehydration,,What is dehydration? Dehydration is a condition caused by the loss of too much fluid from the body.,Metabolic Medicine
Delirium,,"What is delirium? Delirium is a mental state in which you are confused, disoriented, and not able to think or remember clearly.",Neurology
Dementia,Senility,What is dementia? Dementia is a loss of mental functions that is severe enough to affect your daily life and activities.,Neurology
Dengue,"Break-bone fever, Dengue fever",What is dengue? Dengue is a viral infection.,Infectious Disease
Dental Health,Oral health,"It's important to take care of your mouth and teeth starting in childhood. If you don't, you could have problems with your teeth and gums - like cavities or even tooth loss.",Dentistry
Dentures,False teeth,Dentures are false teeth made to replace teeth you have lost. They can be complete or partial.,Dentistry
Depression,"Clinical depression, Dysthymic disorder, Major depressive disorder, Unipolar depression","Depression is a serious medical illness. It's more than just a feeling of being sad or ""blue"" for a few days.",Psychiatry
Developmental Disabilities,,"Developmental disabilities are severe, long-term problems. They may be physical, such as blindness.",Psychiatry
Diabetes,"DM, Diabetes mellitus","Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. Glucose comes from the foods you eat.",Endocrinology
Diabetes and Pregnancy,Gestational diabetes,"Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. When you are pregnant, high blood sugar levels are not good for your baby.",Endocrinology
Diabetes Complications,Diabetic complications,"What is diabetes? If you have diabetes, your blood glucose, or blood sugar, levels are too high.",Endocrinology
Diabetes in Children and Teens,,"Until recently, the common type of diabetes in children and teens was type 1. It was called juvenile diabetes.",Endocrinology
Diabetes Insipidus,DI,"Diabetes insipidus (DI) causes frequent urination. You become extremely thirsty, so you drink.",Endocrinology
Diabetes Medicines,,"What is diabetes? Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.",Endocrinology
Diabetes Type 1,"Insulin-dependent diabetes, Juvenile diabetes, Type I diabetes","Diabetes means your blood glucose, or blood sugar, levels are too high. With type 1 diabetes, your pancreas does not make insulin.",Endocrinology
Diabetes Type 2,Type 2 Diabetes,"What is type 2 diabetes? Type 2 diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.",Endocrinology
Diabetic Diet,,"What is diabetes? If you have diabetes, your blood glucose, or blood sugar, levels are too high.",Endocrinology
Diabetic Eye Problems,Diabetic retinopathy,"What is diabetes? Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.",Endocrinology
Diabetic Foot,,"What is diabetes? Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.","Hematology, Cardiology"
Diabetic Heart Disease,,"What is diabetes? Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.","Hematology, Cardiology"
Diabetic Kidney Problems,Diabetic nephropathy,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage your kidneys.",Endocrinology
Diabetic Nerve Problems,Diabetic neuropathy,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Over time, this can damage the covering on your nerves or the blood vessels that bring oxygen to your nerves.",Neurology
Diagnostic Imaging,Imaging,Diagnostic imaging lets doctors look inside your body for clues about a medical condition. A variety of machines and techniques can create pictures of the structures and activities inside your body.,Radiology
Dialysis,Renal dialysis,"When your kidneys are healthy, they clean your blood. They also make hormones that keep your bones strong and your blood healthy.","Nephrology, Urology"
Diarrhea,"Dysentery, The runs, The trots","What is diarrhea? Diarrhea is loose, watery stools (bowel movements).",Gastroenterology
Dietary Supplements,,"Dietary supplements are vitamins, minerals, herbs, and many other products. They can come as pills, capsules, powders, drinks, and energy bars.",Integrative Medicine
Digestive Diseases,Gastrointestinal diseases,"When you eat, your body breaks food down to a form it can use to build and nourish cells and provide energy. This process is called digestion.",Gastroenterology
Diphtheria,,Diphtheria is a serious bacterial infection. You can catch it from a person who has the infection and coughs or sneezes.,Otolaryngology
Dislocated Shoulder,,"What is a dislocated shoulder? Your shoulder joint is made up of three bones: your collarbone, your shoulder blade, and your upper arm bone.",Orthopedics
Dislocations,,"Dislocations are joint injuries that force the ends of your bones out of position. The cause is often a fall or a blow, sometimes from playing a contact sport.",Orthopedics
Diverticulosis and Diverticulitis,Diverticular disease,"What is diverticulosis? Diverticula are small pouches, or sacs, that bulge outward through weak spots in your colon.",Gastroenterology
Dizziness and Vertigo,,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. If you feel like you or the room are spinning, you have vertigo.",Neurology
Down Syndrome,Trisomy 21,What is Down syndrome? Down syndrome is a condition in which a person has an extra chromosome or an extra piece of a chromosome.,Medical Genetics
Drinking Water,,"We all need to drink water. How much you need depends on your size, activity level, and the weather where you live.",Medical Toxicology
Drowning,,People drown when they get too much water in their lungs. You can drown in as little as an inch or two of water.,Trauma Surgery
Drug Reactions,Side effects,"Most of the time, medicines make our lives better. They reduce aches and pains, fight infections, and control problems such as high blood pressure or diabetes.",Pharmacology
Drug Safety,,"Before any drug can be sold in the United States, it must be approved by the U.S. Food and Drug Administration (FDA). This is true whether it's a prescription or an over-the-counter drug.",Pharmacology
Drug Use and Addiction,"Drug abuse, Substance abuse",What are drugs? Drugs are chemical substances that can change how your body and mind work.,Addiction Medicine
Drugs and Young People,,"What is drug use? Drug use, or misuse, includes: Using illegal substances, such as Anabolic steroids Club drugs Cocaine Heroin Inhalants Marijuana Methamphetamines Misusing prescription medicines, including opioids.",Addiction Medicine
Dry Mouth,Xerostomia,"Dry mouth is the feeling that there is not enough saliva in your mouth. Everyone has a dry mouth once in a while - if they are nervous, upset or under stress.",Dentistry
Dual Diagnosis,,What is dual diagnosis? A person with dual diagnosis has both a mental disorder and an alcohol or drug problem.,Psychiatry
Dwarfism,Little person,"People with dwarfism have short stature. This means that their height is under 4' 10"" as an adult.",Orthopedics
Dystonia,,Dystonia is a movement disorder that causes involuntary contractions of your muscles. These contractions result in twisting and repetitive movements.,Neurology
E-Cigarettes,"E-Cigs, Electronic Cigarettes, Personal Vaporizer","E-cigarettes, or electronic cigarettes, are battery-operated smoking devices. They often look like cigarettes, but work differently.",Pulmonology
E. Coli Infections,Escherichia coli,E. coli is the name of a type of bacteria that lives in your intestines. Most types of E. coli are harmless.,Infectious Disease
Ear Disorders,,"Your ear has three main parts: outer, middle and inner. You use all of them in hearing.",Otolaryngology
Ear Infections,Otitis media,Ear infections are the most common reason parents bring their child to a doctor. Three out of four children will have at least one ear infection by their third birthday.,Otolaryngology
Eating Disorders,"Anorexia nervosa, Binge eating, Bulimia",What are eating disorders? Eating disorders are serious mental health disorders.,Psychiatry
Ebola,"Ebola hemorrhagic fever, Ebola virus disease","What is Ebola? Ebola, also known as Ebola virus disease (EVD), is a type of hemorrhagic fever.",Infectious Disease
Ectopic Pregnancy,"Abdominal pregnancy, Tubal pregnancy","The uterus, or womb, is the place where a baby grows when a woman is pregnant. If you have an ectopic pregnancy, the fertilized egg grows in the wrong place, outside the uterus, usually in the fallopian tubes.",Gynecology
Eczema,Dermatitis,Eczema is a term for several different types of skin swelling. Eczema is also called dermatitis.,Dermatology
Edema,Dropsy,"Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body.","Hematology, Cardiology"
Ehlers-Danlos Syndrome,"Cutis elastica, EDS","Ehlers-Danlos syndrome (EDS) is a group of inherited disorders that weaken connective tissues. Connective tissues are proteins that support skin, bones, blood vessels, and other organs.",Orthopedics
Elbow Injuries and Disorders,,"Your elbow joint is made up of bone, cartilage, ligaments and fluid. Muscles and tendons help the elbow joint move.",Orthopedics
Elder Abuse,,"Many older people are victims of elder abuse. It is the mistreatment of an older person, usually by a caregiver.",Trauma Surgery
Electrical Injuries,"Electric shock, Electrical burn","When you come in direct contact with electricity, it can pass through your body and cause injuries. These electrical injuries can be external or internal.",Trauma Surgery
Electromagnetic Fields,EMFs,"Electric and magnetic fields (EMFs), also called radiation, are areas of energy that surround electrical devices. Everyday sources of EMFs include: Power lines Electrical wiring Microwave ovens Computers Cell phones Some people worry about EMF exposure and cancer.",Medical Toxicology
Emphysema,,What is emphysema? Emphysema is a type of COPD (chronic obstructive pulmonary disease).,Pulmonology
Encephalitis,,"Encephalitis is an inflammation of the brain. Usually the cause is a viral infection, but bacteria can also cause it.",Neurology
Endocarditis,,What is endocarditis? Endocarditis is sometimes called infective endocarditis.,"Hematology, Cardiology"
Endocrine Diseases,,Your endocrine system includes eight major glands throughout your body. These glands make hormones.,Endocrinology
Endometriosis,Endo,"What is endometriosis? The uterus, or womb, is the place where a baby grows when a person is pregnant.",Gynecology
Endoscopy,,"Endoscopy is a procedure that lets your doctor look inside your body. It uses an instrument called an endoscope, or scope for short.",Radiology
Enlarged Prostate (BPH),benign prostatic hyperplasia,What is the prostate? The prostate is a gland in the male reproductive system.,"Urology, Andrology"
Environmental Health,,"Our environment affects our health. If parts of the environment, like the air, water, or soil become polluted, it can lead to health problems.",Medical Toxicology
Eosinophilic Disorders,Eosinophilia,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response.,"Hematology, Cardiology"
Eosinophilic Esophagitis,"EoE, Eosinophilic Oesophagitis",What is eosinophilic esophagitis (EoE)? Eosinophilic esophagitis (EoE) is a chronic disease of the esophagus.,"Hematology, Cardiology"
Epilepsy,,"Epilepsy is a brain disorder that causes people to have recurring seizures. The seizures happen when clusters of nerve cells, or neurons, in the brain send out the wrong signals.",Neurology
Erectile Dysfunction,"ED, Impotence",Erectile dysfunction (ED) is a common type of male sexual dysfunction. It is when a man has trouble getting or keeping an erection.,"Urology, Andrology"
Ergonomics,,"Ergonomics looks at what kind of work you do, what tools you use and your whole job environment. The aim is to find the best fit between you and your job conditions.",Orthopedics
Esophageal Cancer,,The esophagus is a hollow tube that carries food and liquids from your throat to your stomach. Early esophageal cancer usually does not cause symptoms.,Gastroenterology
Esophagus Disorders,,"The esophagus is the muscular tube that carries food and liquids from your mouth to the stomach. You may not be aware of your esophagus until you swallow something too large, too hot, or too cold.",Gastroenterology
Exercise for Children,,"Like adults, kids need exercise. Most children need at least an hour of physical activity every day.",Pediatrics
Exercise for Older Adults,Seniors' fitness,"Exercise and physical activity are good for just about everyone, including older adults. There are four main types and each type is different.",Geriatrics
Eye Cancer,,"Cancer of the eye is uncommon. It can affect the outer parts of the eye, such as the eyelid, which are made up of muscles, skin and nerves.",Ophthalmology
Eye Care,"Eye health, Eye safety",Your eyes are an important part of your health. Most people rely on their eyes to see and make sense of the world around them.,Ophthalmology
Eye Diseases,,Some eye problems are minor and don't last long. But some can lead to a permanent loss of vision.,Ophthalmology
Eye Infections,,"Your eyes can get infections from bacteria, fungi, or viruses. Eye infections can occur in different parts of the eye and can affect just one eye or both.",Ophthalmology
Eye Injuries,,"The structure of your face helps protect your eyes from injury. Still, injuries can damage your eye, sometimes severely enough that you could lose your vision.",Ophthalmology
Eye Movement Disorders,,"When you look at an object, you're using several muscles to move both eyes to focus on it. If you have a problem with the muscles, the eyes don't work properly.",Ophthalmology
Eye Wear,"Contact lenses, Eyeglasses",Eye wear protects or corrects your vision. Examples are: Sunglasses Safety goggles Glasses (also called eyeglasses),Ophthalmology
Eyelid Disorders,,"Your eyelids help protect your eyes. When you blink, your eyelids spread moisture over your eyes.",Ophthalmology
Facial Injuries and Disorders,,"Face injuries and disorders can cause pain and affect how you look. In severe cases, they can affect sight, speech, breathing and your ability to swallow.",Neurology
Fainting,Syncope,"Fainting is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous.",Neurology
Falls,,Falls can be dangerous at any age. Babies and young children can get hurt falling off furniture or down the stairs.,Geriatrics
Family History,,"Your family history includes health information about you and your close relatives. Families have many factors in common, including their genes, environment, and lifestyle.",Medical Genetics
Fatigue,"Tiredness, Weariness",Everyone feels tired now and then. Sometimes you may just want to stay in bed.,General Practice/Internal Medicine
Fatty Liver Disease,"Alcoholic Fatty Liver Disease, Alcoholic Steatohepatitis, NAFLD, NASH, Nonalcoholic Fatty Liver Disease, Nonalcoholic Steatohepatitis",What is fatty liver disease? Your liver is the largest organ inside your body.,Gastroenterology
Female Infertility,,"Infertility means not being able to get pregnant after at least one year of trying (or 6 months if the woman is over age 35). If a woman keeps having miscarriages, it is also called infertility.",Gynecology
Fetal Alcohol Spectrum Disorders,FASD,"Alcohol can harm your baby at any stage during a pregnancy. That includes the earliest stages, before you even know you are pregnant.",Medical Genetics
Fetal Health and Development,,A normal pregnancy lasts nine months. Each three-month period of pregnancy is called a trimester.,Obstetrics and Gynecology
Fever,Pyrexia,"A fever is a body temperature that is higher than normal. A normal temperature can vary from person to person, but it is usually around 98.6 °F (37 °C).",Infectious Disease
Fibromyalgia,"FMS, Fibro","What is fibromyalgia? Fibromyalgia is chronic condition that causes pain all over the body, fatigue, and other symptoms.",Orthopedics
Fifth Disease,Erythema infectiosum,Fifth disease is a viral infection caused by parvovirus B19. The virus only infects humans; it's not the same parvovirus that dogs and cats can get.,Dermatology
Finger Injuries and Disorders,,"You use your fingers and thumbs to do everything from grasping objects to playing musical instruments to typing. When there is something wrong with them, it can make life difficult.",Orthopedics
First Aid,,Accidents happen. Someone chokes on an ice cube or gets stung by a bee.,Trauma Surgery
Fistulas,,"A fistula is an abnormal connection between two parts inside of the body. Fistulas may develop between different organs, such as between the esophagus and the windpipe or the bowel and the vagina.",Gastroenterology
Flu,"Grippe, Influenza, Seasonal flu","What is the flu? The flu, also called influenza, is a respiratory infection caused by viruses.",Pulmonology
Flu Shot,Flu vaccine,Flu is a respiratory infection caused by a number of viruses. Most people with the flu get better on their own.,Allergy and Immunology
Food Allergy,,"Food allergy is an abnormal response to a food triggered by your body's immune system. In adults, the foods that most often trigger allergic reactions include fish, shellfish, peanuts, and tree nuts, such as walnuts.",Allergy and Immunology
Food Safety,,"Safe steps in food handling, cooking, and storage can prevent foodborne illness. There are four basic steps to food safety at home: Clean - always wash your fruits and vegetables, hands, counters, and cooking utensils.",Medical Toxicology
Foodborne Illness,Food Poisoning,"Each year, around 48 million people in the United States get sick from contaminated food. Common causes include bacteria and viruses.",Gastroenterology
Foot Health,,"Each step you take involves a complex network of bones, muscles, tendons, and ligaments. This, combined with all of the weight they carry, explains why feet can have problems.",Orthopedics
Foot Injuries and Disorders,,"Each of your feet has 26 bones, 33 joints, and more than 100 tendons, muscles, and ligaments. No wonder a lot of things can go wrong.",Orthopedics
Foreign Bodies,,"If you've ever gotten a splinter or had sand in your eye, you've had experience with a foreign body. A foreign body is something that is stuck inside you but isn't supposed to be there.",Trauma Surgery
Fractures,Broken bone,"A fracture is a break, usually in a bone. If the broken bone punctures the skin, it is called an open or compound fracture.",Orthopedics
Fragile X Syndrome,"FRAXA, FXS",Fragile X syndrome is the most common form of inherited developmental disability. A problem with a specific gene causes the disease.,Medical Genetics
Friedreich Ataxia,,Friedreich ataxia is an inherited disease that damages your nervous system. The damage affects your spinal cord and the nerves that control muscle movement in your arms and legs.,Neurology
Frostbite,,"Frostbite is an injury to the body that is caused by freezing. It most often affects the nose, ears, cheeks, chin, fingers, or toes.",Trauma Surgery
Fungal Infections,Mycoses,"If you have ever had athlete's foot or a yeast infection, you can blame a fungus. A fungus is a primitive organism.",Dermatology
G6PD Deficiency,Glucose-6-phosphate dehydrogenase deficiency,Glucose-6-phosphate dehydrogenase (G6PD) deficiency is a genetic disorder that is most common in males. About 1 in 10 African American males in the United States has it.,Medical Genetics
Gallbladder Cancer,,"Your gallbladder is a pear-shaped organ under your liver. It stores bile, a fluid made by your liver to digest fat.",Gastroenterology
Gallbladder Diseases,,"Your gallbladder is a pear-shaped organ under your liver. It stores bile, a fluid made by your liver to digest fat.",Gastroenterology
Gallstones,Cholelithiasis,"Your gallbladder is a pear-shaped organ under your liver. It stores bile, a fluid made by your liver to digest fat.",Gastroenterology
Gangrene,,Gangrene is the death of tissues in your body. It happens when a part of your body loses its blood supply.,"Hematology, Cardiology"
Gas,"Belch, Burp, Eructation, Flatulence, Flatus",Everyone has gas. Most people pass gas 13 to 21 times a day.,Gastroenterology
Gastroenteritis,Stomach flu,What is gastroenteritis? Gastroenteritis is an inflammation of the lining of the stomach and intestines.,Gastroenterology
Gastrointestinal Bleeding,GI bleeding,"Your digestive or gastrointestinal (GI) tract includes the esophagus, stomach, small intestine, large intestine or colon, rectum, and anus. Bleeding can come from any of these areas.",Gastroenterology
Gaucher Disease,,"Gaucher disease is a rare, inherited disorder. It is a type of lipid metabolism disorder.",Medical Genetics
Genes and Gene Therapy,,"Genes are the building blocks of inheritance. Passed from parent to child, they contain instructions for making proteins.",Medical Genetics
Genetic Brain Disorders,Inborn genetic brain disorders,A genetic brain disorder is caused by a variation or a mutation in a gene. A variation is a different form of a gene.,Neurology
Genetic Counseling,,"Genetic counseling provides information and support to people who have, or may be at risk for, genetic disorders. A genetic counselor meets with you to discuss genetic risks.",Medical Genetics
Genetic Disorders,,Genes are the building blocks of heredity. They are passed from parent to child.,Medical Genetics
Genetic Testing,,What is genetic testing? Genetic testing is a type of medical test that looks for changes in your DNA.,Medical Genetics
Genital Herpes,Herpes genitalis,"Genital herpes is a sexually transmitted disease (STD) caused by a herpes simplex virus (HSV). It can cause sores on your genital or rectal area, buttocks, and thighs.",Gynecology
Genital Warts,"Condylomata acuminate, Venereal warts",Genital warts are a sexually transmitted disease (STD) caused by the human papillomavirus (HPV). The warts usually appear as a small bump or group of bumps in the genital area.,Gynecology
GERD,Gastroesophageal reflux disease,Your esophagus is the tube that carries food from your mouth to your stomach. Gastroesophageal reflux disease (GERD) happens when a muscle at the end of your esophagus does not close properly.,Gastroenterology
Germs and Hygiene,,What are germs? Germs are microorganisms.,Dermatology
